VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KMHE14L26H,King,Kent,WA,98031,2017,HYUNDAI,SONATA,2,2,27,33,348340814,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
KNDC3DLC0R,Snohomish,Bothell,WA,98012,2024,KIA,EV6,1,3,0,1,260836355,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052009
WA132BFZXN,King,Bellevue,WA,98005,2022,AUDI,Q4,1,3,0,48,220892423,POINT (-122.16085 47.624515),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701
WA1G2BFZ5N,King,Seattle,WA,98116,2022,AUDI,Q4,1,3,0,34,219702353,POINT (-122.38679 47.56484),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009801
VCF1ZBU21P,Clark,Vancouver,WA,98684,2023,FISKER,OCEAN,1,3,0,17,256355046,POINT (-122.51692 45.6228),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041334
LPSEG3KA9N,King,Burien,WA,98146,2022,POLESTAR,PS2,1,3,0,34,201969365,POINT (-122.355145 47.505655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027600
WP0AH2A70J,King,Bellevue,WA,98006,2018,PORSCHE,PANAMERA,2,2,14,41,113244169,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
ZACPDFDW7R,Thurston,Olympia,WA,98501,2024,DODGE,HORNET,2,1,32,22,258898664,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011200
SALWR2RY3L,King,Seattle,WA,98102,2020,LAND ROVER,RANGE ROVER SPORT,2,2,19,43,144576687,POINT (-122.32226 47.64058),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100
1FTBW1YK6N,King,Seattle,WA,98109,2022,FORD,TRANSIT,1,3,0,36,240259176,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007101
